Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Franco-nevada corp,FNV,"",4369790.0,633923000.0,0.7914,0.754,11,-467600.0,-9.66637,reduction,2.2875679,Q1 2014,MATERIALS,13F,06/30/2021,88.38,154.88
Alexion pharmaceuticals inc.,ALXN,"",3147521.0,578231000.0,0.7218,0.6331,12,-180600.0,-5.426485,reduction,1.4240937,Q3 2018,HEALTH CARE,13F,06/30/2021,112.57,
Dominos pizza inc,DPZ,"",1228025.0,572861000.0,0.7151,0.4285,13,291600.0,31.139707,addition,3.1626985,Q1 2011,CONSUMER DISCRETIONARY,13F,06/30/2021,237.1621,517.02
Molina healthcare inc,MOH,"",2248465.0,568997000.0,0.7103,0.7173,14,-217950.0,-8.836712,reduction,3.8501113,Q4 2004,HEALTH CARE,13F,06/30/2021,98.93,248.28
Microsoft corp.,MSFT,"",2069184.0,560542000.0,0.6997,0.1526,15,1549000.0,297.779247,addition,0.0274735,Q3 2020,INFORMATION TECHNOLOGY,13F,06/30/2021,256.2964,292.85
Apple inc,AAPL,"",4078632.0,558609000.0,0.6973,0.1881,16,2841100.0,229.577902,addition,0.0244410,Q2 2018,INFORMATION TECHNOLOGY,13F,06/30/2021,133.2977,149.1
United therapeutics corp,UTHR,"",3110191.0,557999000.0,0.6966,0.6675,17,-97400.0,-3.036547,reduction,6.9429479,Q2 2010,HEALTH CARE,13F,06/30/2021,112.69,202.62
Hershey company (the),HSY,"",3192466.0,556064000.0,0.6942,0.6614,18,-168795.0,-5.021776,reduction,2.1809042,Q4 2008,CONSUMER STAPLES,13F,06/30/2021,120.01,179.4
Abiomed inc,ABMD,"",1678923.0,524009000.0,0.6541,0.7059,19,-101200.0,-5.685,reduction,3.7065608,Q1 2015,HEALTH CARE,13F,06/30/2021,238.76,321.65
Vodafone group plc sponsored adr,VOD,"",29809976.0,510645000.0,0.6375,0.7408,20,-2500100.0,-7.737834,reduction,1.0684918,Q3 2015,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2021,20.11,16.95
Bristol-myers squibb co,BMY,"",7305925.0,488182000.0,0.6094,0.5476,21,333738.0,4.786705,addition,0.3272027,Q2 2016,HEALTH CARE,13F,06/30/2021,56.9428,67.51
Alphabet inc. class a,GOOGL,"",197848.0,483103000.0,0.6031,0.55,22,-16500.0,-7.697763,reduction,0.0657856,Q3 2018,COMMUNICATIONS,13F,06/30/2021,1494.8,2754.55
Herbalife nutrition ltd,HLF,"",8894664.0,469016000.0,0.5855,0.4986,23,-140100.0,-1.550677,reduction,7.5357511,Q3 2015,HEALTH CARE,13F,06/30/2021,46.93,49.33
Biogen inc,BIIB,"",1330003.0,460540000.0,0.5749,0.6745,24,-608159.0,-31.37813,reduction,0.8834016,Q2 2010,HEALTH CARE,13F,06/30/2021,257.6,342.25
Vertex pharmaceuticals  inc.,VRTX,"",2277284.0,459169000.0,0.5732,0.6417,25,-123000.0,-5.124394,reduction,0.8797165,Q1 2017,HEALTH CARE,13F,06/30/2021,173.33,194.36
Jazz pharmaceuticals plc,JAZZ,"",2317240.0,411635000.0,0.5139,0.5445,26,-345410.0,-12.972415,reduction,4.0727684,Q2 2015,HEALTH CARE,13F,06/30/2021,136.03,142.16
Icon plc ads,ICLR,"",1988818.0,411109000.0,0.5132,0.5056,27,-80900.0,-3.908745,reduction,3.7675504,Q1 2013,HEALTH CARE,13F,06/30/2021,106.56,239.06
Horizon therapeutics plc,HZNP,"",4237663.0,396815000.0,0.4954,0.5966,28,-972300.0,-18.662321,reduction,1.8853452,Q2 2017,HEALTH CARE,13F,06/30/2021,20.93,106.72
Incyte corporation,INCY,"",4515133.0,379858000.0,0.4742,0.4953,29,-383600.0,-7.830596,reduction,2.0530473,Q4 2017,HEALTH CARE,13F,06/30/2021,87.38,73.47
Fortinet inc,FTNT,"",1586284.0,377837000.0,0.4717,0.5563,30,-838400.0,-34.577702,reduction,0.9712875,Q3 2015,INFORMATION TECHNOLOGY,13F,06/30/2021,69.63,309.33
Aon plc,AON,"",1545101.0,368908000.0,0.4605,0.3153,31,443823.0,40.300723,addition,0.6847418,Q1 2020,FINANCE,13F,06/30/2021,228.6318,277.24
Roku inc,ROKU,"",795816.0,365478000.0,0.4562,0.59,32,-659884.0,-45.331043,reduction,0.6908159,Q3 2020,INFORMATION TECHNOLOGY,13F,06/30/2021,304.66,357.59
Etsy inc,ETSY,"",1763181.0,362933000.0,0.4531,0.5791,33,-545027.0,-23.61256,reduction,1.3872108,Q4 2015,CONSUMER DISCRETIONARY,13F,06/30/2021,32.0,192.08
Glaxosmithkline plc adr,GSK,"",9061321.0,360822000.0,0.4504,0.3891,34,298300.0,3.404077,addition,0.3602140,Q3 2009,HEALTH CARE,13F,06/30/2021,41.0385,41.97
F5 networks inc,FFIV,"",1899736.0,354605000.0,0.4427,0.6222,35,-497400.0,-20.749761,reduction,3.1866806,Q3 2011,INFORMATION TECHNOLOGY,13F,06/30/2021,136.6,204.37
Advanced micro devices inc,AMD,"",3771226.0,354231000.0,0.4422,0.327,36,422700.0,12.623465,addition,0.3103836,Q3 2019,INFORMATION TECHNOLOGY,13F,06/30/2021,82.911,110.55
Crowdstrike holdings inc,CRWD,"",1400245.0,351896000.0,0.4393,0.3006,37,76500.0,5.779059,addition,0.7027787,Q1 2020,INFORMATION TECHNOLOGY,13F,06/30/2021,115.6593,243.82
Qualcomm inc.,QCOM,"",2452960.0,350602000.0,0.4377,0.3781,38,160800.0,7.015217,addition,0.2174610,Q3 2019,INFORMATION TECHNOLOGY,13F,06/30/2021,130.343,148.64
Palo alto networks inc,PANW,"",939230.0,348501000.0,0.435,0.8266,39,-1123900.0,-54.475481,reduction,0.9643922,Q2 2015,INFORMATION TECHNOLOGY,13F,06/30/2021,175.03,374.04
Gilead sciences inc.,GILD,"",5047355.0,347561000.0,0.4339,0.5275,40,-1513648.0,-23.070375,reduction,0.4024432,Q1 2014,HEALTH CARE,13F,06/30/2021,67.91,71.16
National grid plc adr,NGG,"",5167077.0,330383000.0,0.4124,0.3948,41,-190377.0,-3.553498,reduction,0.7266600,Q2 2011,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2021,62.03,66.37
Exelixis inc,EXEL,"",18082501.0,329463000.0,0.4113,0.5237,42,-550300.0,-2.953394,reduction,5.7700189,Q4 2015,HEALTH CARE,13F,06/30/2021,20.66,18.28
Cable one inc,CABO,"",165000.0,315614000.0,0.394,0.4486,43,-32200.0,-16.3286,reduction,2.7339590,Q4 2015,CONSUMER DISCRETIONARY,13F,06/30/2021,847.98,2039.01
Walt disney co. (the),DIS,"",1768027.0,310766000.0,0.3879,0.3046,44,440958.0,33.227963,addition,0.0973084,Q4 2015,COMMUNICATIONS,13F,06/30/2021,182.3377,181.08
Walmart inc,WMT,"",2179600.0,307367000.0,0.3837,0.0602,45,1823400.0,511.903425,addition,0.0777832,Q1 2012,CONSUMER STAPLES,13F,06/30/2021,137.7401,149.53
Cboe global markets inc,CBOE,"",2488924.0,296306000.0,0.3699,0.3165,46,-88900.0,-3.448645,reduction,2.3329481,Q2 2011,FINANCE,13F,06/30/2021,58.35,127.0
Johnson & johnson co.,JNJ,"",1748400.0,288031000.0,0.3596,0.0014,47,1741500.0,25239.130435,addition,0.0663934,Q1 2010,HEALTH CARE,13F,06/30/2021,164.7385,176.25
Nio inc,NIO,"",5293900.0,281635000.0,0.3516,,48,5293900.0,,new,0.3887645,Q2 2020,CONSUMER DISCRETIONARY,13F,06/30/2021,53.2,41.03
Csx corp,CSX,"",8561400.0,274650000.0,0.3429,0.0421,49,7509600.0,713.976041,addition,1.1303667,Q2 2018,TRANSPORTS,13F,06/30/2021,32.0825,33.87
Slack technologies inc,WORK,"",5942800.0,263266000.0,0.3286,0.2538,50,922400.0,18.373038,addition,1.1614039,Q4 2020,INFORMATION TECHNOLOGY,13F,06/30/2021,42.5597,
United parcel service  inc. class b,UPS,"",1264945.0,263071000.0,0.3284,0.1039,51,773445.0,157.364191,addition,0.1748811,Q1 2021,TRANSPORTS,13F,06/30/2021,193.2127,193.98
Netflix inc,NFLX,"",494300.0,261094000.0,0.3259,0.1267,52,299000.0,153.097798,addition,0.1118845,Q4 2016,COMMUNICATIONS,13F,06/30/2021,486.7201,515.92
Medifast inc,MED,"",895210.0,253327000.0,0.3162,0.2357,53,800.0,0.089444,addition,7.6116154,Q3 2010,CONSUMER STAPLES,13F,06/30/2021,66.5436,236.01
Salesforce.com inc.,CRM,"",1035181.0,252864000.0,0.3157,0.0687,54,774700.0,297.411328,addition,0.1117906,Q2 2019,INFORMATION TECHNOLOGY,13F,06/30/2021,235.2617,251.56
Newmont mining corp. (holding co.),NEM,"",3920950.0,248501000.0,0.3102,0.2238,55,936381.0,31.374078,addition,0.4894079,Q3 2014,MATERIALS,13F,06/30/2021,46.4208,58.84
Barrick gold corp,GOLD,"",11990376.0,247961000.0,0.3095,0.2533,56,1709340.0,16.626145,addition,0.6742335,Q2 2014,MATERIALS,13F,06/30/2021,17.7476,20.27
Shopify inc,SHOP,"",169300.0,247342000.0,0.3088,0.3351,57,-74200.0,-30.472279,reduction,0.1496722,Q4 2018,COMMUNICATIONS,13F,06/30/2021,1127.15,1498.0
Dropbox inc,DBX,"",8065233.0,244457000.0,0.3052,0.3428,58,-2271710.0,-21.976613,reduction,2.5358961,Q1 2019,INFORMATION TECHNOLOGY,13F,06/30/2021,20.94,32.13
Activision blizzard inc,ATVI,"",2554398.0,243792000.0,0.3043,0.2369,59,506800.0,24.750952,addition,0.3287443,Q1 2020,INFORMATION TECHNOLOGY,13F,06/30/2021,89.0833,83.85
Boston beer inc class a,SAM,"",234700.0,239582000.0,0.2991,0.4561,60,-69200.0,-22.770648,reduction,2.3217413,Q1 2017,CONSUMER STAPLES,13F,06/30/2021,337.92,633.86
Caterpillar inc.,CAT,"",1042778.0,226940000.0,0.2833,,61,1042778.0,,new,0.1903619,Q2 2021,INDUSTRIALS,13F,06/30/2021,217.63,218.57
General mills co.,GIS,"",3714288.0,226312000.0,0.2825,0.2282,62,723100.0,24.174341,addition,0.6089284,Q3 2016,CONSUMER STAPLES,13F,06/30/2021,54.3989,59.84
Electronic arts  inc.,EA,"",1541964.0,221781000.0,0.2769,0.2905,63,-183200.0,-10.61928,reduction,0.5387881,Q2 2016,INFORMATION TECHNOLOGY,13F,06/30/2021,128.39,138.68
Novartis ag ads,NVS,"",2409939.0,219883000.0,0.2745,0.2521,64,39600.0,1.670647,addition,0.0976846,Q3 2013,HEALTH CARE,13F,06/30/2021,79.7618,93.83
National beverage corp,FIZZ,"",4384944.0,207101000.0,0.2585,0.2753,65,-139100.0,-3.074683,reduction,4.6997751,Q2 2006,CONSUMER STAPLES,13F,06/30/2021,72.29,44.1
Mobile telesystems ojsc ads adr,MBT,"",22108574.0,204725000.0,0.2556,0.224,66,522100.0,2.418644,addition,2.2126479,Q4 2013,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2021,8.9671,8.65
Kinross gold corp. adr,KGC,"",31227274.0,198278000.0,0.2475,0.2992,67,-4837500.0,-13.413366,reduction,2.4760295,Q1 2013,MATERIALS,13F,06/30/2021,3.48,6.08
Clorox co.,CLX,"",1068030.0,192149000.0,0.2399,0.181,68,313600.0,41.567806,addition,0.8587381,Q4 2011,CONSUMER STAPLES,13F,06/30/2021,174.9866,168.45
Corcept therapeutics inc,CORT,"",8522196.0,187488000.0,0.234,0.2597,69,-251600.0,-2.86763,reduction,7.3069926,Q1 2015,HEALTH CARE,13F,06/30/2021,13.52,20.68
Allison transmission holdings inc,ALSN,"",4612519.0,183302000.0,0.2288,0.273,70,-761110.0,-14.163799,reduction,4.2106228,Q3 2013,CONSUMER DISCRETIONARY,13F,06/30/2021,42.88,38.52
Northrop grumman corp.,NOC,"",500100.0,181751000.0,0.2269,0.2959,71,-234900.0,-31.959184,reduction,0.3106960,Q4 2019,INDUSTRIALS,13F,06/30/2021,311.92,363.11
Ryanair holdings adr,RYAAY,"",1675171.0,181270000.0,0.2263,0.293,72,-372911.0,-18.207816,reduction,0.7423613,Q1 2007,TRANSPORTS,13F,06/30/2021,65.84,108.0
Hello group inc adr,MOMO,"",11801198.0,180676000.0,0.2255,0.2502,73,-1844600.0,-13.517714,reduction,7.1113816,Q3 2016,INFORMATION TECHNOLOGY,13F,06/30/2021,33.75,12.12
Lowes companies  inc.,LOW,"",916200.0,177715000.0,0.2218,0.0231,74,818500.0,837.76868,addition,0.1296100,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2021,192.668,190.51
Cogent communications group inc,CCOI,"",2252656.0,173207000.0,0.2162,0.1946,75,-22600.0,-0.993295,reduction,4.7388848,Q3 2011,COMMUNICATIONS,13F,06/30/2021,41.02,72.67
Micron technology  inc.,MU,"",2023236.0,171935000.0,0.2146,,76,2023236.0,,new,0.1804180,Q4 2018,INFORMATION TECHNOLOGY,13F,06/30/2021,84.98,70.92
Netease inc adr,NTES,"",1490088.0,171733000.0,0.2144,0.2837,77,-718178.0,-32.52226,reduction,0.2220761,Q2 2019,COMMUNICATIONS,13F,06/30/2021,64.76,89.66
Rogers communications inc. class b (nyse),RCI,"",3221722.0,171202000.0,0.2137,0.1886,78,-66000.0,-2.007469,reduction,0.8181696,Q4 2011,COMMUNICATIONS,13F,06/30/2021,46.64,50.84
Commvault systems inc,CVLT,"",2161275.0,168947000.0,0.2109,0.1841,79,-133012.0,-5.797531,reduction,4.6957450,Q3 2010,INFORMATION TECHNOLOGY,13F,06/30/2021,47.79,76.77
Virtu financial inc,VIRT,"",5928107.0,163794000.0,0.2045,0.2119,80,442600.0,8.068534,addition,4.9587297,Q1 2020,FINANCE,13F,06/30/2021,24.3728,26.08
Fortis inc,FTS,"",3651363.0,161500000.0,0.2016,0.2004,81,-63532.0,-1.710196,reduction,0.7778401,Q4 2016,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2021,38.14,46.51
Usana health sciences inc.,USNA,"",1545400.0,158295000.0,0.1976,0.1904,82,-22600.0,-1.441327,reduction,7.4933339,Q2 2005,CONSUMER STAPLES,13F,06/30/2021,52.55,94.85
Taiwan semiconductor manufacturing co ltd adr,TSM,"",1317320.0,158289000.0,0.1976,0.194,83,-1200.0,-0.091011,reduction,0.0254011,Q1 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,118.28,115.5
Unitedhealth group inc.,UNH,"",394435.0,157948000.0,0.1972,,84,394435.0,,new,0.0417966,Q2 2021,HEALTH CARE,13F,06/30/2021,400.44,409.67
Ubiquiti inc,UI,"",503982.0,157338000.0,0.1964,0.2115,85,-65900.0,-11.563797,reduction,0.8023386,Q1 2016,INFORMATION TECHNOLOGY,13F,06/30/2021,113.86,310.51
Chunghwa telecom co. ltd adr,CHT,"",3837669.0,156040000.0,0.1948,0.1877,86,-17300.0,-0.448771,reduction,0.4947078,Q1 2011,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2021,32.93,42.32
Snowflake  inc.,SNOW,"",642700.0,155405000.0,0.194,,87,642700.0,,new,0.2170550,Q2 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,241.8,291.52
Colgate-palmolive co.,CL,"",1878981.0,152855000.0,0.1908,0.1616,88,230700.0,13.9964,addition,N/A,Q3 2004,CONSUMER STAPLES,13F,06/30/2021,62.6301,79.44
Nu skin enterprises inc. class a,NUS,"",2678296.0,151725000.0,0.1894,0.177,89,-11500.0,-0.427542,reduction,5.3520602,Q4 2017,CONSUMER STAPLES,13F,06/30/2021,51.2,53.76
Union pacific corp.,UNP,"",685300.0,150718000.0,0.1881,0.0704,90,428600.0,166.965329,addition,0.1031608,Q1 2019,TRANSPORTS,13F,06/30/2021,197.6949,227.8
Otis worldwide corp,OTIS,"",1830600.0,149688000.0,0.1869,0.1579,91,-24100.0,-1.299402,reduction,0.4265707,Q2 2020,INDUSTRIALS,13F,06/30/2021,65.14,90.66
B2gold corp,BTG,"",35493872.0,149426000.0,0.1865,0.2266,92,-6769083.0,-16.016587,reduction,3.3674410,Q3 2015,MATERIALS,13F,06/30/2021,2.95,3.92
Firstservice corp,FSV,"",864993.0,148139000.0,0.1849,0.1601,93,-3300.0,-0.380056,reduction,2.0779935,Q2 2015,REAL ESTATE,13F,06/30/2021,49.32,189.16
Dr. reddys laboratories ltd adr,RDY,"",2005138.0,147398000.0,0.184,0.1556,94,-32000.0,-1.570831,reduction,N/A,Q1 2017,HEALTH CARE,13F,06/30/2021,39.21,62.71
Linde plc (praxair inc.),LIN,"",504100.0,145735000.0,0.1819,,95,504100.0,,new,0.0969368,Q4 2015,MATERIALS,13F,06/30/2021,289.1,309.4
Smith & wesson brands inc. (american outdoor brands),SWBI,"",4195164.0,145572000.0,0.1817,0.0807,96,479900.0,12.916982,addition,8.7400348,Q3 2018,CONSUMER DISCRETIONARY,13F,06/30/2021,15.0838,24.08
New york times co. class a,NYT,"",3287642.0,143177000.0,0.1787,0.2361,97,-461200.0,-12.302466,reduction,1.9677143,Q1 2013,COMMUNICATIONS,13F,06/30/2021,31.21,47.91
Tenaris sa ads adr,TS,"",6534100.0,143097000.0,0.1786,0.2292,98,-1584200.0,-19.513938,reduction,1.1069710,Q1 2017,ENERGY,13F,06/30/2021,18.92,20.46
Sprouts farmers market inc,SFM,"",5727920.0,142339000.0,0.1777,0.1818,99,238800.0,4.350424,addition,4.8487502,Q1 2014,CONSUMER DISCRETIONARY,13F,06/30/2021,21.2468,24.26
Marketaxess holdings inc,MKTX,"",304143.0,140998000.0,0.176,0.2806,100,-148910.0,-32.868119,reduction,0.8007410,Q1 2011,FINANCE,13F,06/30/2021,284.86,463.42
Coca cola co.,KO,"",2603727.0,140888000.0,0.1759,0.2259,101,-840773.0,-24.409145,reduction,0.0603878,Q1 2021,CONSUMER STAPLES,13F,06/30/2021,52.71,57.23
Peloton interactive inc,PTON,"",1124235.0,139428000.0,0.1741,0.3138,102,-1119053.0,-49.8845,reduction,0.4183288,Q1 2020,CONSUMER DISCRETIONARY,13F,06/30/2021,151.72,110.88
Carrier global corp.,CARR,"",2861026.0,139046000.0,0.1736,0.1531,103,-52900.0,-1.81542,reduction,0.3292326,Q2 2020,INDUSTRIALS,13F,06/30/2021,33.02,56.15
Campbell soup co.,CPB,"",3038443.0,138523000.0,0.1729,0.1555,104,551575.0,22.179505,addition,1.0026161,Q1 2019,CONSUMER STAPLES,13F,06/30/2021,47.2269,43.18
Tesla inc,TSLA,"",203675.0,138438000.0,0.1728,0.6875,105,-623706.0,-75.383167,reduction,0.0211428,Q4 2016,CONSUMER DISCRETIONARY,13F,06/30/2021,652.96,717.17
Hsbc holdings plc adr,HSBC,"",4786843.0,138100000.0,0.1724,0.2166,106,-1189000.0,-19.896774,reduction,0.1171750,Q3 2017,FINANCE,13F,06/30/2021,35.88,28.44
Altria group  inc. (philip morris),MO,"",2883955.0,137507000.0,0.1717,0.1875,107,-61200.0,-2.077989,reduction,0.1558357,Q2 2018,CONSUMER STAPLES,13F,06/30/2021,39.02,48.6
Nortonlifelock inc,NLOK,"",5045538.0,137340000.0,0.1714,0.0475,108,3250300.0,181.051203,addition,0.8700029,Q2 2011,INFORMATION TECHNOLOGY,13F,06/30/2021,24.5088,26.29
Nomad foods ltd,NOMD,"",4829779.0,136538000.0,0.1704,0.1603,109,138700.0,2.956676,addition,2.8050609,Q2 2018,CONSUMER STAPLES,13F,06/30/2021,23.1222,27.64
China petroleum & chemical corp. sponsored adr,SNP,"",2671767.0,136287000.0,0.1701,0.1883,110,-198423.0,-6.913236,reduction,1.0471999,Q2 2012,ENERGY,13F,06/30/2021,66.73,46.2
Carvana co,CVNA,"",441900.0,133374000.0,0.1665,0.0942,111,153200.0,53.065466,addition,0.5457440,Q4 2020,CONSUMER DISCRETIONARY,13F,06/30/2021,274.1129,360.98
Keurig dr pepper inc,KDP,"",3769781.0,132847000.0,0.1658,0.1332,112,654800.0,21.020995,addition,0.2659602,Q1 2013,CONSUMER STAPLES,13F,06/30/2021,29.0758,34.45
Danaher corp.,DHR,"",494636.0,132741000.0,0.1657,0.2122,113,-263170.0,-34.727886,reduction,0.0693468,Q3 2020,HEALTH CARE,13F,06/30/2021,221.11,315.26
Logitech international sa adr,LOGI,"",1082021.0,130838000.0,0.1633,0.1679,114,-209542.0,-16.223909,reduction,0.6250604,Q1 2014,INFORMATION TECHNOLOGY,13F,06/30/2021,20.99,107.59
Corvel corp.,CRVL,"",973510.0,130742000.0,0.1632,0.128,115,-29500.0,-2.941147,reduction,5.4129752,Q1 2006,HEALTH CARE,13F,06/30/2021,27.26,152.41
Gamestop corp.  class a,GME,"",606141.0,129799000.0,0.162,,116,606141.0,,new,0.8440297,Q2 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,214.14,162.52
Alkermes plc.,ALKS,"",5278613.0,129432000.0,0.1616,0.141,117,-786900.0,-12.973346,reduction,3.2898404,Q4 2018,HEALTH CARE,13F,06/30/2021,23.35,28.75
Workiva inc,WK,"",1157400.0,128853000.0,0.1609,0.1484,118,-194300.0,-14.374491,reduction,2.7420501,Q4 2015,INFORMATION TECHNOLOGY,13F,06/30/2021,31.54,132.44
Cvs health corp. (melville shoe),CVS,"",1541095.0,128589000.0,0.1605,0.1677,119,-250358.0,-13.975136,reduction,0.1170540,Q4 2018,CONSUMER STAPLES,13F,06/30/2021,75.23,84.36
Willis towers watson plc,WLTW,"",558520.0,128471000.0,0.1604,0.0911,120,238700.0,74.635733,addition,0.4330393,Q1 2021,FINANCE,13F,06/30/2021,229.3672,219.24
Accenture plc,ACN,"",430900.0,127025000.0,0.1586,,121,430900.0,,new,0.0647858,Q3 2020,INFORMATION TECHNOLOGY,13F,06/30/2021,294.79,323.45
Vector group ltd. (liggett group inc. - brooke group ltd.),VGR,"",8953344.0,126600000.0,0.158,0.1573,122,-111791.0,-1.233197,reduction,5.8065213,Q3 2005,CONSUMER STAPLES,13F,06/30/2021,13.73,14.55
Mcdonalds corp.,MCD,"",541500.0,125081000.0,0.1561,0.2001,123,-176000.0,-24.529617,reduction,0.0725702,Q4 2020,CONSUMER DISCRETIONARY,13F,06/30/2021,221.64,238.82
Pacira biosciences inc,PCRX,"",2060327.0,125021000.0,0.1561,0.2018,124,-254470.0,-10.993189,reduction,4.6798539,Q3 2018,HEALTH CARE,13F,06/30/2021,41.23,58.32
Nike inc.,NKE,"",805800.0,124488000.0,0.1554,0.0258,125,649600.0,415.877081,addition,0.0632022,Q3 2020,CONSUMER DISCRETIONARY,13F,06/30/2021,150.303,171.69
Nova measuring instruments ltd,NVMI,"",1208100.0,124301000.0,0.1552,0.1523,126,-137400.0,-10.211817,reduction,4.2845649,Q3 2009,INFORMATION TECHNOLOGY,13F,06/30/2021,10.69,94.89
Cosan sa,CSAN,"",6523382.0,124075000.0,0.1549,0.1354,127,-216700.0,-3.215094,reduction,1.3923447,Q1 2021,ENERGY,13F,06/30/2021,16.15,17.9
Morningstar inc,MORN,"",475570.0,122274000.0,0.1526,0.1417,128,-30400.0,-6.008261,reduction,1.1073678,Q4 2011,COMMUNICATIONS,13F,06/30/2021,93.73,260.5
Flowers foods,FLO,"",5037885.0,121917000.0,0.1522,0.1438,129,182900.0,3.767262,addition,2.3795198,Q2 2017,CONSUMER STAPLES,13F,06/30/2021,21.0391,24.34
Oreilly automotive inc.,ORLY,"",214294.0,121335000.0,0.1515,0.0847,130,80000.0,59.570792,addition,0.3071802,Q4 2019,CONSUMER DISCRETIONARY,13F,06/30/2021,498.3655,594.03
Neurocrine biosciences inc.,NBIX,"",1242723.0,120942000.0,0.151,0.1691,131,-155141.0,-11.098433,reduction,1.3144111,Q4 2018,HEALTH CARE,13F,06/30/2021,109.11,89.12
Southwest airlines co.,LUV,"",2239980.0,118921000.0,0.1485,0.0469,132,1622200.0,262.585386,addition,N/A,Q1 2019,TRANSPORTS,13F,06/30/2021,51.0932,50.41
Mondelez international inc. (kraft foods),MDLZ,"",1842498.0,115046000.0,0.1436,0.0827,133,707200.0,62.292015,addition,0.1311656,Q1 2016,CONSUMER STAPLES,13F,06/30/2021,60.0308,63.36
Shutterstock inc,SSTK,"",1164001.0,114270000.0,0.1426,0.1361,134,-64400.0,-5.242588,reduction,3.1842349,Q1 2015,COMMUNICATIONS,13F,06/30/2021,44.9,106.11
Modivcare inc,MODV,"",671899.0,114270000.0,0.1426,0.1248,135,-5600.0,-0.826569,reduction,4.7927485,Q2 2009,HEALTH CARE,13F,06/30/2021,32.63,180.95
Verizon communications (bell atlantic corp.),VZ,"",2026993.0,113572000.0,0.1418,0.0236,136,1700500.0,520.838119,addition,0.0489604,Q2 2019,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2021,56.3715,55.87
Agnico-eagle mines  ltd,AEM,"",1843115.0,111413000.0,0.1391,0.1616,137,-403900.0,-17.974958,reduction,0.7559011,Q4 2011,MATERIALS,13F,06/30/2021,46.03,59.14
Fortive corp,FTV,"",1583800.0,110454000.0,0.1379,0.1579,138,-212500.0,-11.829873,reduction,0.4678524,Q4 2020,INDUSTRIALS,13F,06/30/2021,70.7,75.96
Kirkland lake gold ltd,KL,"",2849700.0,109799000.0,0.1371,0.1354,139,-370616.0,-11.508684,reduction,1.0669722,Q3 2017,MATERIALS,13F,06/30/2021,32.6,40.51
Pepsico inc. (loft  inc.),PEP,"",739262.0,109536000.0,0.1367,0.0011,140,732762.0,11273.261538,addition,0.0535065,Q1 2021,CONSUMER STAPLES,13F,06/30/2021,148.1109,156.52
