Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Advantage solutions inc.,ADV,"",12195000.0,129556000.0,1.03163,1.1436,26,-305000.0,-2.44,reduction,3.8294870,Q4 2020,INDUSTRIALS,13F,06/30/2021,13.17,9.39
Ironsource ltd,IS,"",8000000.0,80066000.0,0.637548,0.3329,27,4000000.0,100.0,addition,7.8125000,Q1 2021,FINANCE,13F,06/30/2021,10.475,9.68
Panacea acquisition corp,NUVB,"",8623021.0,77143000.0,0.614273,0.656,28,0.0,0.0,,3.9618740,Q1 2021,FINANCE,13F,06/30/2021,10.45,9.13
Reinvent technology partners y,RTPY,"",6000000.0,59339000.0,0.472504,,29,6000000.0,,new,6.1381074,Q2 2021, ,13F,06/30/2021,9.89,9.84
Cullinan management inc,CGEM,"",1835560.0,46277000.0,0.368494,0.571,30,0.0,0.0,,4.2181145,Q1 2021,HEALTH CARE,13F,06/30/2021,41.67,27.71
Ajax i,AJAX,"",4223918.0,42070000.0,0.334994,0.4085,31,-776082.0,-15.52164,reduction,5.2471624,Q1 2021,FINANCE,13F,06/30/2021,10.26,9.82
Avanti acquisition corp.,AVAN,"",4000000.0,38960000.0,0.31023,0.3112,32,0.0,0.0,,6.6666667,Q1 2021,FINANCE,13F,06/30/2021,9.77,9.73
Joby aviation inc,JOBY,"",3500000.0,34930000.0,0.27814,0.2829,33,0.0,0.0,,5.0724638,Q1 2021,FINANCE,13F,06/30/2021,10.15,9.5
Horizon acquisition ii corp.,HZON,"",3499998.0,34195000.0,0.272287,0.2843,34,0.0,0.0,,6.6666629,Q1 2021,FINANCE,13F,06/30/2021,10.2,9.72
Liberty media acquisition corp,LMACA,"",3200000.0,32576000.0,0.259396,0.2576,35,0.0,0.0,,5.5652174,Q1 2021, ,13F,06/30/2021,10.11,10.2
Trilogy metals,TMQ,"",12182568.0,30578000.0,0.243486,0.2076,36,0.0,0.0,,8.4339664,Q2 2012,MATERIALS,13F,06/30/2021,1.43,2.01
Broadstone acquisition corp.,BSN,"",2970000.0,29344000.0,0.23366,0.2315,37,0.0,0.0,,9.7280403,Q1 2021,FINANCE,13F,06/30/2021,9.79,9.88
Theravance biopharma inc,TBPH,PRN,30000000.0,28559000.0,0.227409,0.2435,38,0.0,0.0,,N/A,Q4 2016,HEALTH CARE,13F,06/30/2021,,13.52
Garrett motion inc,GTX,"",3575000.0,28529000.0,0.22717,,39,3575000.0,,new,5.4969525,Q2 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,7.98,7.36
Altimeter growth corp. 2,AGCB,"",2500000.0,25625000.0,0.204046,0.2066,40,0.0,0.0,,5.4229935,Q1 2021,FINANCE,13F,06/30/2021,10.38,9.87
Investindustrial acquisition corp.,IIAC,"",2100000.0,20496000.0,0.163205,0.163,41,0.0,0.0,,5.2173913,Q1 2021,FINANCE,13F,06/30/2021,9.75,9.9
Dragoneer growth opps iii corp,DGNU,"",2000000.0,20000000.0,0.159256,0.161,42,0.0,0.0,,5.0000000,Q1 2021, ,13F,06/30/2021,10.11,9.85
Finch therapeutics group inc,FNCH,"",1208159.0,16693000.0,0.132923,0.1503,43,0.0,0.0,,2.5477740,Q1 2021, ,13F,06/30/2021,16.15,13.15
Pershing square tontine holdings equity warrants exp 24 july 2025,PSTH/WS,"",1944444.0,12250000.0,0.0975441,0.1262,44,0.0,0.0,,N/A,Q3 2020, ,13F,06/30/2021,,
Dragoneer growth opportunities corp. ii,DGNS,"",1000000.0,10100000.0,0.0804241,0.0819,45,0.0,0.0,,3.5270880,Q4 2020,FINANCE,13F,06/30/2021,11.42,9.87
Hippo holdings inc,HIPO,"",1000000.0,9930000.0,0.0790705,0.0797,46,0.0,0.0,,4.3478261,Q1 2021,FINANCE,13F,06/30/2021,10.01,5.27
Svf investment corp cl a,SVFA,"",1000000.0,9880000.0,0.0786723,0.0813,47,0.0,0.0,,1.6563147,Q1 2021, ,13F,06/30/2021,10.21,9.71
Vesper healthcare acquisition class a,SKINW,"",898981.0,5753000.0,0.0458099,0.0219,48,-421019.0,-31.895379,reduction,5.8629197,Q4 2020,FINANCE,13F,06/30/2021,2.65,11.29
Noble corp (cayman island),NE,"",104928.0,2481000.0,0.0197557,,49,104928.0,,new,0.1744791,Q2 2021,ENERGY,13F,06/30/2021,13.8211,21.26
Ajax i redeemable warrants each whole warrant exercisable for one class a ordinary share at an exercise price of $11.50,AJAX.WS,"",1250000.0,2338000.0,0.018617,0.0168,50,0.0,0.0,,N/A,Q1 2021, ,13F,06/30/2021,,
Avanti acquisition corp. redeemable warrants each whole warrant exercisable for one class a ordinary share at an exercise price of $11.50,AVAN.WS,"",2000000.0,2080000.0,0.0165626,0.0167,51,0.0,0.0,,N/A,Q1 2021, ,13F,06/30/2021,,
Redball acquisition corp. redeemable warrants each whole warrant exercisable for one class a ordinary share at an exercise price of $11.50 per share,RBAC.WS,"",1650000.0,1782000.0,0.0141897,0.0179,52,0.0,0.0,,N/A,Q4 2020, ,13F,06/30/2021,,
Broadstone acquisition equity warrants exp 15 nov 2028,BSN/WS,"",1485000.0,1782000.0,0.0141897,0.0082,53,0.0,0.0,,N/A,Q1 2021, ,13F,06/30/2021,,
Joby aviation inc,JOBY.WS,"",875000.0,1711000.0,0.0136243,0.0141,54,0.0,0.0,,N/A,Q1 2021, ,13F,06/30/2021,,
Liberty media acquisition equity warrant,LMACW,"",640000.0,1403000.0,0.0111718,0.0154,55,0.0,0.0,,5.5652174,Q1 2021, ,13F,06/30/2021,3.02,2.09
Horizon acquisition corporation ii warrants each whole warrant exercisable for one class a ordinary share at an exercise price of $11.50,HZON.WS,"",1166666.0,1365000.0,0.0108692,0.019,56,0.0,0.0,,N/A,Q1 2021, ,13F,06/30/2021,,
Reinvent technology partners y,RTPYW,"",750000.0,1350000.0,0.0107498,,57,750000.0,,new,N/A,Q2 2021, ,13F,06/30/2021,,
Investindustrial acquisition corp. redeemable warrants each whole warrant exercisable for one class a ordinary share at an exercise price of $11.50,IIAC.WS,"",700000.0,707000.0,0.00562969,0.0046,58,0.0,0.0,,N/A,Q1 2021, ,13F,06/30/2021,,
Hippo holdings inc,HIPO.WS,"",200000.0,362000.0,0.00288253,0.0025,59,0.0,0.0,,N/A,Q1 2021,FINANCE,13F,06/30/2021,,
Svf investment equity warrant exp 12 jan,SVFAW,"",200000.0,308000.0,0.00245254,0.0033,60,0.0,0.0,,1.6563147,Q1 2021, ,13F,06/30/2021,2.07,1.28
Healthpeak properties inc,PEAK,"",0.0,0.0,0.0,1.2554,61,-4966911.0,-100.0,soldall,0.0000000,Q3 2020,REAL ESTATE,13F,06/30/2021,28.04,35.83
Fidelity national financial inc,FNF,"",0.0,0.0,0.0,0.9833,62,-3036935.0,-100.0,soldall,0.0000000,Q4 2020,FINANCE,13F,06/30/2021,39.09,49.06
Fox corp,FOX,"",0.0,0.0,0.0,1.58,63,-5680307.0,-100.0,soldall,0.0000000,Q1 2019,COMMUNICATIONS,13F,06/30/2021,35.88,34.07
Fox corp class a,FOXA,"",0.0,0.0,0.0,2.1885,64,-7610818.0,-100.0,soldall,0.0000000,Q1 2019,COMMUNICATIONS,13F,06/30/2021,36.71,37.0
Reinvent technology partners y,RTPYU,"",0.0,0.0,0.0,0.4797,65,-6000000.0,-100.0,soldall,0.0000000,Q1 2021,FINANCE,13F,06/30/2021,10.04,9.99
