Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Vanguard dividend appreciation etf,VIG,"",27003.0,4180000.0,1.3288,2.0505,14,296.0,1.108324,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,147.1645,162.12
Target corp.,TGT,"",17279.0,4177000.0,1.3278,1.7132,15,633.0,3.802715,addition,N/A,Q1 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,199.6698,261.54
Spdr gold trust,GLD,"",22737.0,3766000.0,1.1972,0.1983,16,20440.0,889.856334,addition,No Data,Q1 2021,MATERIALS,13F,06/30/2021,165.0572,166.39
Dimensional us equity etf,DFUS,"",77578.0,3656000.0,1.1622,,17,77578.0,,new,No Data,Q2 2021,FINANCE,13F,06/30/2021,,48.897
Darling ingredients inc,DAR,"",51446.0,3473000.0,1.104,1.9156,18,-224.0,-0.43352,reduction,0.0315287,Q1 2021,CONSUMER STAPLES,13F,06/30/2021,73.58,78.49
Alphabet inc. class c,GOOG,"",1376.0,3449000.0,1.0964,1.4865,19,67.0,5.118411,addition,0.0004252,Q1 2021,COMMUNICATIONS,13F,06/30/2021,2089.9419,2768.12
Spdr s&p 500 etf trust,SPY,"",7774.0,3328000.0,1.0579,1.0701,20,2569.0,49.356388,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,406.8155,445.92
Vanguard total bond market indx fund etf,BND,"",38217.0,3282000.0,1.0433,1.5463,21,2212.0,6.143591,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,84.7877,86.36
Berkshire hathaway inc class b,BRK.B,"",11179.0,3107000.0,0.9877,1.6686,22,-449.0,-3.861369,reduction,0.0008427,Q1 2021,FINANCE,13F,06/30/2021,255.47,287.89
Servicenow inc,NOW,"",5569.0,3060000.0,0.9727,,23,5569.0,,new,0.0028205,Q2 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,549.55,587.83
Goldman sachs group inc,GS,"",7439.0,2823000.0,0.8974,,24,7439.0,,new,0.0021895,Q2 2021,FINANCE,13F,06/30/2021,379.53,410.78
Perkinelmer inc.,PKI,"",17536.0,2708000.0,0.8608,1.2213,25,70.0,0.400779,addition,0.0156444,Q1 2021,HEALTH CARE,13F,06/30/2021,128.3943,183.11
Qorvo inc,QRVO,"",13532.0,2648000.0,0.8418,1.1264,26,102.0,0.759494,addition,0.0120192,Q1 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,182.7976,188.36
Synaptics inc,SYNA,"",16990.0,2643000.0,0.8402,1.0047,27,70.0,0.413712,addition,0.0482644,Q1 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,135.5031,172.93
Pfizer  inc.,PFE,"",66692.0,2612000.0,0.8303,1.3232,28,968.0,1.472826,addition,0.0011914,Q1 2021,HEALTH CARE,13F,06/30/2021,36.2725,48.48
Ishares msci eafe index fund,EFA,"",32939.0,2598000.0,0.8259,1.3044,29,-181.0,-0.546498,reduction,No Data,Q1 2021,FINANCE,13F,06/30/2021,75.87,81.42
Vanguard total world stock index etf,VT,"",24308.0,2519000.0,0.8008,0.9971,30,4397.0,22.083271,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,98.4332,105.88
Dimensional us core equity 2 etf,DFAC,"",93119.0,2512000.0,0.7985,,31,93119.0,,new,No Data,Q2 2021,FINANCE,13F,06/30/2021,,27.52
Activision blizzard inc,ATVI,"",24614.0,2349000.0,0.7467,1.1305,32,555.0,2.306829,addition,0.0031678,Q1 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,93.055,83.85
Union pacific corp.,UNP,"",10293.0,2264000.0,0.7197,1.1467,33,110.0,1.080232,addition,0.0015494,Q1 2021,TRANSPORTS,13F,06/30/2021,220.4049,227.8
Avantor inc,AVTR,"",62895.0,2233000.0,0.7098,0.9489,34,710.0,1.141754,addition,0.0108041,Q1 2021,HEALTH CARE,13F,06/30/2021,29.0043,38.62
Ametek inc.,AME,"",16585.0,2214000.0,0.7038,1.0975,35,45.0,0.272068,addition,0.0071822,Q1 2021,INDUSTRIALS,13F,06/30/2021,127.7457,137.24
Dimensional us targeted value etf,DFAT,"",49188.0,2204000.0,0.7006,,36,49188.0,,new,No Data,Q2 2021,FINANCE,13F,06/30/2021,,45.26
Bristol-myers squibb co,BMY,"",32975.0,2203000.0,0.7003,0.7263,37,10785.0,48.602974,addition,0.0014768,Q1 2021,HEALTH CARE,13F,06/30/2021,64.3369,67.51
Exxonmobil corp. (standard oil of new jersey),XOM,"",34079.0,2150000.0,0.6835,0.9575,38,2640.0,8.397214,addition,0.0008050,Q1 2021,ENERGY,13F,06/30/2021,56.3916,56.77
Vanguard real estate etf,VNQ,"",20800.0,2117000.0,0.673,,39,20800.0,,new,No Data,Q2 2021,REAL ESTATE,13F,06/30/2021,101.79,106.76
Dxc technology company,DXC,"",54061.0,2105000.0,0.6692,,40,54061.0,,new,0.0212165,Q2 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,38.94,41.23
Mr cooper group inc,COOP,"",61991.0,2049000.0,0.6514,,41,61991.0,,new,0.0719693,Q2 2021,FINANCE,13F,06/30/2021,33.06,38.48
Netflix inc,NFLX,"",3861.0,2039000.0,0.6482,0.2333,42,2912.0,306.849315,addition,0.0008739,Q1 2021,COMMUNICATIONS,13F,06/30/2021,526.6001,515.92
Texas instruments  inc.,TXN,"",9812.0,1887000.0,0.5999,0.8551,43,266.0,2.786507,addition,0.0010625,Q1 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,189.0797,188.7
Hunt (j.b.) transport services  inc.,JBHT,"",11551.0,1882000.0,0.5983,1.0143,44,2.0,0.017318,addition,0.0109311,Q1 2021,TRANSPORTS,13F,06/30/2021,168.0691,175.61
Dollar tree inc.,DLTR,"",17791.0,1770000.0,0.5627,0.9712,45,354.0,2.030166,addition,0.0076701,Q1 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,114.1623,101.77
Kayne anderson mlp/midstream investment,KYN,"",193820.0,1723000.0,0.5477,0.5138,46,62125.0,47.173393,addition,No Data,Q1 2021,ENERGY,13F,06/30/2021,7.7213,7.93
Altice usa inc,ATUS,"",49691.0,1696000.0,0.5391,0.9063,47,1021.0,2.097802,addition,0.0108067,Q1 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,32.5631,28.24
Fmc corp. (food machinery & chemical corp.),FMC,"",14815.0,1603000.0,0.5096,0.8449,48,318.0,2.193557,addition,0.0114955,Q1 2021,MATERIALS,13F,06/30/2021,110.5583,94.32
Quest diagnostics  inc.,DGX,"",12094.0,1596000.0,0.5073,0.8226,49,170.0,1.425696,addition,0.0092576,Q1 2021,HEALTH CARE,13F,06/30/2021,128.391,148.22
Ishares msci emerging index fund,EEM,"",28916.0,1595000.0,0.507,0.7531,50,400.0,1.402721,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,53.365,51.73
Invesco dwa momentum etf-invesco dwa momentum etf,PDP,"",17735.0,1589000.0,0.5051,0.7329,51,0.0,0.0,,No Data,Q1 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,85.13,92.61
Invesco ftse rafi us 1000 etf-invesco ftse rafi us 1000 etf,PRF,"",9814.0,1574000.0,0.5004,,52,9814.0,,new,No Data,Q2 2021,FINANCE,13F,06/30/2021,160.33,164.44
Fvcbankcorp inc,FVCB,"",86494.0,1493000.0,0.4746,,53,86494.0,,new,0.6341698,Q2 2021,FINANCE,13F,06/30/2021,17.26,19.52
Cummins inc,CMI,"",6083.0,1483000.0,0.4714,0.7851,54,76.0,1.265191,addition,0.0041510,Q1 2021,INDUSTRIALS,13F,06/30/2021,258.9188,237.72
Cardinal health  inc.,CAH,"",24691.0,1410000.0,0.4482,0.6806,55,646.0,2.686629,addition,0.0085098,Q1 2021,HEALTH CARE,13F,06/30/2021,60.6542,51.7
Boeing company,BA,"",5857.0,1403000.0,0.446,0.6294,56,235.0,4.180007,addition,0.0010015,Q1 2021,INDUSTRIALS,13F,06/30/2021,254.1117,234.46
Square inc,SQ,"",5736.0,1398000.0,0.4444,,57,5736.0,,new,0.0014633,Q2 2021,FINANCE,13F,06/30/2021,243.8,267.88
3m co. (minnesota mining & manufacturing),MMM,"",6994.0,1389000.0,0.4415,0.705,58,4.0,0.057225,addition,0.0012065,Q1 2021,INDUSTRIALS,13F,06/30/2021,192.6834,200.58
Roku inc,ROKU,"",3025.0,1389000.0,0.4415,0.1344,59,2165.0,251.744186,addition,0.0026259,Q1 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,421.302,357.59
Cerner corp.,CERN,"",17603.0,1376000.0,0.4374,0.6629,60,473.0,2.761238,addition,0.0058420,Q1 2021,HEALTH CARE,13F,06/30/2021,72.0487,79.63
Meritage homes corp.,MTH,"",14437.0,1358000.0,0.4317,0.7526,61,412.0,2.937611,addition,0.0381458,Q1 2021,REAL ESTATE,13F,06/30/2021,91.9816,113.61
Ishares msci denmark capped index fund,EDEN,"",12400.0,1341000.0,0.4263,0.5249,62,2285.0,22.590213,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,98.9431,115.45
Ishares msci norway capped index fund,ENOR,"",46310.0,1314000.0,0.4177,0.5432,63,8245.0,21.660318,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,27.8357,28.76
Ishares msci switzerland capped etf,EWL,"",26960.0,1311000.0,0.4168,0.5148,64,4960.0,22.545455,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,45.0232,51.04
Ishares msci sweden capped etf,EWD,"",28240.0,1310000.0,0.4164,0.5462,65,5075.0,21.908051,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,44.8907,48.97
Vanguard total international stock etf,VXUS,"",19768.0,1298000.0,0.4126,0.3286,66,9569.0,93.822924,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,64.1425,65.99
Vanguard s&p 500 etf,VOO,"",3247.0,1278000.0,0.4063,0.3109,67,1603.0,97.506083,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,378.7255,409.96
Spdr s&p biotech etf,XBI,"",9287.0,1257000.0,0.3996,0.528,68,899.0,10.717692,addition,No Data,Q1 2021,HEALTH CARE,13F,06/30/2021,135.6258,124.62
Zillow group inc class c,Z,"",10260.0,1254000.0,0.3986,,69,10260.0,,new,0.0056967,Q2 2021,COMMUNICATIONS,13F,06/30/2021,122.22,96.41
Corsair gaming  inc.,CRSR,"",36550.0,1217000.0,0.3869,0.563,70,1185.0,3.350771,addition,0.0396475,Q1 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,33.29,26.83
Vanguard mid-cap etf,VO,"",5071.0,1204000.0,0.3827,0.5741,71,0.0,0.0,,No Data,Q1 2021,FINANCE,13F,06/30/2021,221.34,244.15
Danaher corp.,DHR,"",4481.0,1203000.0,0.3824,0.5594,72,72.0,1.633023,addition,0.0006282,Q1 2021,HEALTH CARE,13F,06/30/2021,225.7754,315.26
Nvidia corp.,NVDA,"",5976.0,1195000.0,0.3799,,73,5976.0,,new,0.0002398,Q2 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,200.025,201.88
Vanguard ftse emerging markets etf,VWO,"",21277.0,1156000.0,0.3675,0.4362,74,4426.0,26.265504,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,52.5201,51.39
American express co,AXP,"",6940.0,1147000.0,0.3646,0.4458,75,1170.0,20.277296,addition,0.0008639,Q1 2021,FINANCE,13F,06/30/2021,145.4507,166.08
Flagstar bancorp inc,FBC,"",26435.0,1117000.0,0.3551,0.566,76,880.0,3.443553,addition,0.0500743,Q1 2021,FINANCE,13F,06/30/2021,45.0058,49.46
Merck & co,MRK,"",13841.0,1076000.0,0.342,0.5295,77,-182.29,-1.299909,reduction,0.0005466,Q1 2021,HEALTH CARE,13F,06/30/2021,73.56,76.72
The trade desk inc class a,TTD,"",13600.0,1052000.0,0.3344,,78,13600.0,,new,0.0315387,Q2 2021,COMMUNICATIONS,13F,06/30/2021,77.36,80.91
Bank of america corp. (north carolina national bank),BAC,"",24956.0,1029000.0,0.3271,0.1567,79,17457.0,232.791039,addition,0.0002912,Q1 2021,FINANCE,13F,06/30/2021,40.4668,41.63
Alibaba group holding ltd adr,BABA,"",4507.0,1022000.0,0.3249,,80,4507.0,,new,0.0001666,Q2 2021,COMMUNICATIONS,13F,06/30/2021,226.78,188.62
Aspen aerogels inc,ASPN,"",33000.0,987000.0,0.3138,,81,33000.0,,new,0.1164010,Q2 2021,ENERGY,13F,06/30/2021,29.92,35.18
Home depot  inc. (the),HD,"",3006.0,959000.0,0.3049,0.4737,82,61.0,2.071307,addition,0.0002827,Q1 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,305.5268,331.32
Comcast corp.  class a,CMCSA,"",16410.0,936000.0,0.2975,0.4103,83,2123.0,14.859663,addition,0.0003579,Q1 2021,COMMUNICATIONS,13F,06/30/2021,54.4865,59.32
Ishares russell 2000 etf,IWM,"",4059.0,931000.0,0.296,,84,4059.0,,new,No Data,Q2 2021,FINANCE,13F,06/30/2021,229.37,221.13
Mcdonalds corp.,MCD,"",3954.0,913000.0,0.2902,0.4316,85,222.0,5.948553,addition,0.0005299,Q1 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,224.5246,238.82
Nuveen new york amt-free quality muni in,NRK,"",63900.0,907000.0,0.2883,0.4483,86,0.0,0.0,,No Data,Q1 2021,FINANCE,13F,06/30/2021,13.65,14.3
Carvana co,CVNA,"",3000.0,905000.0,0.2877,,87,3000.0,,new,0.0037050,Q2 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,301.82,360.98
Schwab u.s. small-cap etf,SCHA,"",8610.0,897000.0,0.2851,0.285,88,2801.0,48.218282,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,101.1372,101.71
Unitedhealth group inc.,UNH,"",2238.0,896000.0,0.2848,0.4412,89,93.0,4.335664,addition,0.0002372,Q1 2021,HEALTH CARE,13F,06/30/2021,373.2489,409.67
Booking holdings inc. (priceline),BKNG,"",400.0,875000.0,0.2782,,90,400.0,,new,0.0009744,Q2 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,2188.09,2203.42
Dimensional us small cap etf,DFAS,"",14611.0,853000.0,0.2712,,91,14611.0,,new,No Data,Q2 2021,FINANCE,13F,06/30/2021,,58.307
Pepsico inc. (loft  inc.),PEP,"",5752.0,852000.0,0.2708,0.354,92,914.0,18.892104,addition,0.0004163,Q1 2021,CONSUMER STAPLES,13F,06/30/2021,142.5178,156.52
Cooper companies (the),COO,"",2151.0,852000.0,0.2708,0.2632,93,801.0,59.333333,addition,0.0043677,Q1 2021,HEALTH CARE,13F,06/30/2021,388.6256,436.99
Mastercard inc,MA,"",2327.0,850000.0,0.2702,0.3297,94,503.0,27.576754,addition,0.0002367,Q1 2021,FINANCE,13F,06/30/2021,358.0041,362.75
Eaton vance new york municipal bond fund,ENX,"",64566.0,830000.0,0.2638,0.4083,95,0.0,0.0,,No Data,Q1 2021,FINANCE,13F,06/30/2021,12.2,12.73
Invesco s&p 500 pure growth etf-invesco s&p 500 pure growth etf,RPG,"",4434.0,816000.0,0.2594,0.3606,96,0.0,0.0,,No Data,Q1 2021,FINANCE,13F,06/30/2021,164.27,196.48
Abbott laboratories,ABT,"",6967.0,808000.0,0.2569,0.3743,97,622.0,9.802994,addition,0.0003921,Q1 2021,HEALTH CARE,13F,06/30/2021,119.4909,123.06
International business machines corp,IBM,"",5455.0,800000.0,0.2543,0.3545,98,506.0,10.224288,addition,0.0006105,Q1 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,134.4965,143.18
U.s. bancorp (first national bank of cincinnati),USB,"",13980.0,796000.0,0.253,0.392,99,1000.0,7.70416,addition,0.0009385,Q1 2021,FINANCE,13F,06/30/2021,55.4287,58.22
Spdr s&p technology etf,XLK,"",5351.0,790000.0,0.2511,0.2698,100,1303.0,32.188735,addition,No Data,Q1 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,136.4261,154.99
Invesco tr for inv gr ny munis,VTN,"",56390.0,783000.0,0.2489,0.3804,101,0.0,0.0,,No Data,Q1 2021,FINANCE,13F,06/30/2021,13.11,13.85
Nuveen new york quality muni income fund,NAN,"",51215.0,771000.0,0.2451,0.3768,102,0.0,0.0,,No Data,Q1 2021,FINANCE,13F,06/30/2021,14.25,15.25
First trust tcw unconstrained plus bond etf,UCON,"",27090.0,722000.0,0.2295,0.357,103,650.0,2.458396,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,26.6307,26.61
Adobe systems  inc.,ADBE,"",1228.0,719000.0,0.2286,0.2916,104,9.0,0.73831,addition,0.0002569,Q1 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,476.1782,637.31
Ishares core s&p 500 etf,IVV,"",1666.0,716000.0,0.2276,0.3758,105,-154.0,-8.461538,reduction,No Data,Q1 2021,FINANCE,13F,06/30/2021,397.82,447.85
Idexx laboratories inc.,IDXX,"",1130.0,714000.0,0.227,,106,1130.0,,new,0.0013250,Q2 2021,HEALTH CARE,13F,06/30/2021,631.55,672.1
Vanguard short-term corporate bond etf,VCSH,"",8505.0,703000.0,0.2235,0.2576,107,2355.0,38.292683,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,82.5581,82.59
Atlas corp,ATCO,"",49300.0,703000.0,0.2235,,108,49300.0,,new,0.0199749,Q2 2021,TRANSPORTS,13F,06/30/2021,14.25,14.23
Globe life inc,GL,"",7275.0,693000.0,0.2203,0.3636,109,255.0,3.632479,addition,0.0070594,Q1 2021,FINANCE,13F,06/30/2021,96.5816,96.4
Thermo fisher scientific  inc.,TMO,"",1374.0,693000.0,0.2203,0.2855,110,136.0,10.98546,addition,0.0003496,Q1 2021,HEALTH CARE,13F,06/30/2021,461.14,544.64
Ishares msci acwi index fund,ACWI,"",6808.0,689000.0,0.219,,111,6808.0,,new,No Data,Q2 2021,FINANCE,13F,06/30/2021,101.19,103.76
Broadmark realty capital ord shs,BRMK,"",64120.0,679000.0,0.2158,,112,64120.0,,new,N/A,Q2 2021,REAL ESTATE,13F,06/30/2021,,10.5
Vanguard small-cap etf,VB,"",2962.0,667000.0,0.212,0.3205,113,-21.0,-0.703989,reduction,No Data,Q1 2021,FINANCE,13F,06/30/2021,214.08,223.32
Southwestern energy co.,SWN,"",112200.0,636000.0,0.2022,,114,112200.0,,new,0.0165768,Q2 2021,ENERGY,13F,06/30/2021,5.67,4.36
Rocket companies  inc.,RKT,"",32200.0,623000.0,0.198,,115,32200.0,,new,0.0235942,Q2 2021,FINANCE,13F,06/30/2021,19.35,19.26
Schwab u.s. broad market etf,SCHB,"",5862.0,611000.0,0.1942,0.1648,116,2546.0,76.779252,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,99.9935,107.72
Coca cola co.,KO,"",11272.0,610000.0,0.1939,,117,11272.0,,new,0.0002614,Q2 2021,CONSUMER STAPLES,13F,06/30/2021,54.11,57.23
Vanguard mid-cap growth etf,VOT,"",2545.0,602000.0,0.1914,0.2723,118,0.0,0.0,,No Data,Q1 2021,FINANCE,13F,06/30/2021,214.59,242.55
Mfs municipal income trust,MFM,"",82746.0,591000.0,0.1879,0.2957,119,0.0,0.0,,No Data,Q1 2021,FINANCE,13F,06/30/2021,6.82,7.24
Dowdupont inc. (dow chemical),DD,"",7561.0,585000.0,0.186,0.3063,120,41.0,0.545213,addition,0.0014209,Q1 2021,MATERIALS,13F,06/30/2021,77.2807,77.08
On semiconductor corp,ON,"",15000.0,574000.0,0.1825,,121,15000.0,,new,0.0035128,Q2 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,38.28,43.45
Nextera energy inc.,NEE,"",7776.0,570000.0,0.1812,0.1075,122,4816.0,162.702703,addition,0.0003964,Q1 2021,UTILITIES AND TELECOMMUNICATIONS,13F,06/30/2021,74.1669,83.45
Spdr portfolio msci glbl stock market et,SPGM,"",10233.0,568000.0,0.1806,0.2039,123,2683.0,35.536424,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,53.1811,56.79
Oracle corp,ORCL,"",7255.0,565000.0,0.1796,0.2409,124,1071.0,17.318887,addition,0.0002598,Q1 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,71.3023,90.38
Schwab international equity etf,SCHF,"",14262.0,563000.0,0.179,0.2242,125,2795.0,24.374291,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,37.9786,40.4
Schwab emerging markets equity etf,SCHE,"",17081.0,562000.0,0.1787,0.1826,126,5499.0,47.478846,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,32.1341,31.08
Redfin corp,RDFN,"",8750.0,555000.0,0.1764,,127,8750.0,,new,0.0084101,Q2 2021,REAL ESTATE,13F,06/30/2021,63.41,53.43
Neuberger berman new york municipal clos,NBO,"",41325.0,550000.0,0.1748,0.0842,128,28236.0,215.723126,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,12.9969,13.37
Vanguard ftse developed markets etf,VEA,"",10491.0,540000.0,0.1717,0.2247,129,1683.0,19.107629,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,49.4966,52.84
Tesla inc,TSLA,"",792.0,538000.0,0.171,,130,792.0,,new,0.0000822,Q2 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,679.7,717.17
Visa inc,V,"",2292.0,536000.0,0.1704,0.1648,131,819.0,55.600815,addition,0.0001355,Q1 2021,FINANCE,13F,06/30/2021,219.6234,232.65
Sonos inc,SONO,"",15005.0,529000.0,0.1682,,132,15005.0,,new,0.0120427,Q2 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,35.23,38.14
Broadridge financial solutions inc,BR,"",3251.0,525000.0,0.1669,0.2622,133,0.0,0.0,,0.0027996,Q1 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,153.1,174.36
Schwab international small-cap equity etf,SCHC,"",12281.0,511000.0,0.1624,0.247,134,305.0,2.54676,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,39.4741,42.93
Opendoor technologies  inc.,OPEN,"",28500.0,505000.0,0.1605,,135,28500.0,,new,0.0049334,Q2 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,17.73,17.55
Starbucks corp.,SBUX,"",4416.0,494000.0,0.157,0.145,136,1813.0,69.650403,addition,0.0003751,Q1 2021,CONSUMER DISCRETIONARY,13F,06/30/2021,110.3128,116.76
Dow inc,DOW,"",7781.0,492000.0,0.1564,0.2571,137,285.0,3.802028,addition,0.0010416,Q1 2021,MATERIALS,13F,06/30/2021,63.9158,63.69
Ishares russell mid-cap etf,IWR,"",6113.0,484000.0,0.1539,0.2414,138,-248.0,-3.898758,reduction,No Data,Q1 2021,FINANCE,13F,06/30/2021,73.93,80.89
Vanguard russell 2000 value etf,VTWV,"",3317.0,482000.0,0.1532,0.2206,139,175.0,5.569701,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,140.0939,141.34
Ark innovation etf,ARKK,"",3629.0,475000.0,0.151,,140,3629.0,,new,No Data,Q2 2021,FINANCE,13F,06/30/2021,130.78,120.1
Marsh & mclennan companies  inc.,MMC,"",3227.0,454000.0,0.1443,0.2171,141,4.0,0.124108,addition,0.0006346,Q1 2021,FINANCE,13F,06/30/2021,121.8234,151.64
Invesco s&p 500 equal weight etf-invesco s&p 500 equal weight etf,RSP,"",2995.0,451000.0,0.1434,,142,2995.0,,new,No Data,Q2 2021,FINANCE,13F,06/30/2021,150.73,155.32
Sundial growers inc,SNDL,"",470000.0,446000.0,0.1418,,143,470000.0,,new,0.0283094,Q2 2021,HEALTH CARE,13F,06/30/2021,0.949,0.75
Sherwin-williams co.,SHW,"",1638.0,446000.0,0.1418,0.2323,144,-3267.0,-66.605505,reduction,0.0006159,Q1 2021,MATERIALS,13F,06/30/2021,246.0,305.66
Invesco qqq trust series 1,QQQ,"",1240.0,440000.0,0.1399,0.1638,145,222.0,21.807466,addition,No Data,Q1 2021,FINANCE,13F,06/30/2021,325.4498,368.82
Csx corp,CSX,"",13500.0,433000.0,0.1376,0.1973,146,1800.0,15.384615,addition,0.0017824,Q1 2021,TRANSPORTS,13F,06/30/2021,50.6671,33.87
Energy transfer equity lp,ET,"",40037.0,426000.0,0.1354,,147,40037.0,,new,0.0014809,Q2 2021,ENERGY,13F,06/30/2021,10.63,9.51
Berkshire hathaway inc class a,BRK.A,"",1.0,419000.0,0.1332,,148,1.0,,new,0.0001567,Q2 2021,FINANCE,13F,06/30/2021,418601.0,433124.0
Cisco systems  inc.,CSCO,"",7812.0,414000.0,0.1316,0.2029,149,57.0,0.73501,addition,0.0001854,Q1 2021,INFORMATION TECHNOLOGY,13F,06/30/2021,51.7194,56.47
Walmart inc,WMT,"",2896.0,408000.0,0.1297,0.1501,150,716.0,32.844037,addition,0.0001033,Q1 2021,CONSUMER STAPLES,13F,06/30/2021,137.1132,149.53
Vanguard health care etf,VHT,"",1635.0,404000.0,0.1284,0.1942,151,0.0,0.0,,No Data,Q1 2021,HEALTH CARE,13F,06/30/2021,228.75,257.72
